{15.0, 524.0}
{38.0, 232.0}
{39.0, 233.0}
{40.0, 234.0}
{46.0, 443.0}
{49.0, 155.0}
{50.0, 152.0}
{50.0, 156.0}
{50.0, 158.0}
{51.0, 150.0}
{51.0, 153.0}
{52.0, 151.0}
{52.0, 154.0}
{52.0, 156.0}
{53.0, 149.0}
{53.0, 152.0}
{55.0, 160.0}
{123.0, 476.0}
{125.0, 473.0}
{126.0, 471.0}
{126.0, 474.0}
{126.0, 476.0}
{128.0, 478.0}
{130.0, 480.0}
{153.0, 355.0}
{154.0, 353.0}
{155.0, 354.0}
{155.0, 356.0}
{157.0, 358.0}
{186.0, 584.0}
{187.0, 585.0}
{188.0, 583.0}
{189.0, 584.0}
{190.0, 581.0}
{190.0, 585.0}
{191.0, 582.0}
{193.0, 587.0}
{196.0, 1.0}
{197.0, 2.0}
{198.0, 0.0}
{198.0, 3.0}
{200.0, 5.0}
{202.0, 7.0}
{208.0, 78.0}
{208.0, 505.0}
{208.0, 507.0}
{209.0, 79.0}
{217.0, 171.0}
{217.0, 173.0}
{218.0, 167.0}
{219.0, 168.0}
{220.0, 166.0}
{220.0, 169.0}
{221.0, 167.0}
{221.0, 170.0}
{221.0, 172.0}
{222.0, 168.0}
{251.0, 403.0}
{252.0, 401.0}
{252.0, 404.0}
{253.0, 402.0}
{254.0, 400.0}
{271.0, 41.0}
{271.0, 43.0}
{271.0, 45.0}
{273.0, 40.0}
{273.0, 42.0}
{278.0, 485.0}
{279.0, 483.0}
{280.0, 36.0}
{280.0, 38.0}
{280.0, 484.0}
{281.0, 34.0}
{281.0, 481.0}
{281.0, 485.0}
{283.0, 487.0}
{317.0, 204.0}
{319.0, 202.0}
{360.0, 320.0}
{360.0, 322.0}
{361.0, 110.0}
{362.0, 108.0}
{362.0, 319.0}
{362.0, 321.0}
{363.0, 110.0}
{363.0, 317.0}
{363.0, 322.0}
{364.0, 108.0}
{364.0, 319.0}
{365.0, 317.0}
{366.0, 319.0}
{367.0, 317.0}
{368.0, 315.0}
{368.0, 319.0}
{369.0, 317.0}
{370.0, 315.0}
{388.0, 193.0}
{481.0, 451.0}
{482.0, 452.0}
{483.0, 450.0}
{483.0, 453.0}
{485.0, 455.0}
{586.0, 145.0}
{587.0, 146.0}
{588.0, 143.0}
{588.0, 147.0}
{589.0, 144.0}
{591.0, 149.0}
{649.0, 126.0}
{650.0, 127.0}
{650.0, 219.0}
{651.0, 125.0}
{651.0, 128.0}
{651.0, 216.0}
{652.0, 217.0}
{653.0, 215.0}
{653.0, 218.0}
{654.0, 219.0}
{655.0, 215.0}
{656.0, 221.0}
{713.0, 117.0}
{714.0, 115.0}
{714.0, 118.0}
{715.0, 116.0}
{717.0, 120.0}
{718.0, 207.0}
{718.0, 209.0}
{719.0, 204.0}
{720.0, 205.0}
{720.0, 208.0}
{721.0, 203.0}
{721.0, 206.0}
{723.0, 210.0}
{723.0, 523.0}
{724.0, 25.0}
{724.0, 520.0}
{725.0, 26.0}
{725.0, 521.0}
{726.0, 24.0}
{726.0, 519.0}
{727.0, 25.0}
{728.0, 26.0}
{729.0, 27.0}
{731.0, 29.0}
{740.0, 594.0}
{793.0, 318.0}
{794.0, 319.0}
{811.0, 532.0}
{812.0, 530.0}
{813.0, 531.0}
{875.0, 329.0}
{884.0, 502.0}
{885.0, 503.0}
{886.0, 504.0}
{888.0, 506.0}
{903.0, 48.0}
{904.0, 49.0}
{905.0, 47.0}
{917.0, 589.0}
{917.0, 591.0}
{919.0, 589.0}
{920.0, 590.0}
{921.0, 588.0}
{922.0, 589.0}
{925.0, 263.0}
{946.0, 413.0}
{947.0, 414.0}
{948.0, 412.0}
{948.0, 415.0}
{950.0, 417.0}
{956.0, 143.0}
{957.0, 140.0}
{958.0, 141.0}
{959.0, 139.0}
{959.0, 142.0}
{960.0, 140.0}
{960.0, 143.0}
{961.0, 144.0}
{962.0, 140.0}
{964.0, 146.0}
{1016.0, 86.0}
{1017.0, 87.0}
{1018.0, 85.0}
{1018.0, 88.0}
{1088.0, 449.0}
{1089.0, 450.0}
{1089.0, 549.0}
{1090.0, 451.0}
{1090.0, 550.0}
{1091.0, 548.0}
{1091.0, 551.0}
{1092.0, 451.0}
{1093.0, 553.0}
{1094.0, 453.0}
{1096.0, 455.0}
